Force_Transmissibility_Base0.csv,


mass: 10,k1: 1,k2: 2,c1: 0,c2: 1,amp: 10,


r,Force Trans. Base,
1.525,1.59393,
1.5269,1.59211,
1.5288,1.59031,
1.5307,1.58852,
1.5326,1.58674,
1.5345,1.58498,
1.5364,1.58323,
1.5383,1.58149,
1.5402,1.57977,
1.5421,1.57806,
1.544,1.57637,
1.5459,1.57468,
1.5478,1.57301,
1.5497,1.57136,
1.5516,1.56971,
1.5535,1.56808,
1.5554,1.56646,
1.5573,1.56485,
1.5592,1.56326,
1.5611,1.56167,
1.563,1.5601,
1.5649,1.55854,
1.5668,1.557,
1.5687,1.55546,
1.5706,1.55393,
1.5725,1.55242,
1.5744,1.55092,
1.5763,1.54943,
1.5782,1.54795,
1.5801,1.54648,
1.582,1.54502,
1.5839,1.54358,
1.5858,1.54214,
1.5877,1.54072,
1.5896,1.5393,
1.5915,1.5379,
1.5934,1.5365,
1.5953,1.53512,
1.5972,1.53375,
1.5991,1.53238,
1.601,1.53103,
1.6029,1.52969,
1.6048,1.52835,
1.6067,1.52703,
1.6086,1.52571,
1.6105,1.52441,
1.6124,1.52311,
1.6143,1.52183,
1.6162,1.52055,
1.6181,1.51928,
1.62,1.51802,
1.6219,1.51677,
1.6238,1.51553,
1.6257,1.5143,
1.6276,1.51308,
1.6295,1.51187,
1.6314,1.51066,
1.6333,1.50947,
1.6352,1.50828,
1.6371,1.5071,
1.639,1.50593,
1.6409,1.50477,
1.6428,1.50361,
1.6447,1.50247,
1.6466,1.50133,
1.6485,1.5002,
1.6504,1.49908,
1.6523,1.49796,
1.6542,1.49686,
1.6561,1.49576,
1.658,1.49467,
1.6599,1.49359,
1.6618,1.49251,
1.6637,1.49144,
1.6656,1.49038,
1.6675,1.48933,
1.6694,1.48829,
1.6713,1.48725,
1.6732,1.48622,
1.6751,1.4852,
1.677,1.48418,
1.6789,1.48317,
1.6808,1.48217,
1.6827,1.48117,
1.6846,1.48019,
1.6865,1.47921,
1.6884,1.47823,
1.6903,1.47726,
1.6922,1.4763,
1.6941,1.47535,
1.696,1.4744,
1.6979,1.47346,
1.6998,1.47253,
1.7017,1.4716,
1.7036,1.47068,
1.7055,1.46976,
1.7074,1.46886,
1.7093,1.46795,
1.7112,1.46706,
1.7131,1.46617,
1.715,1.46528,
1.7169,1.46441,
1.7188,1.46353,
1.7207,1.46267,
1.7226,1.46181,
1.7245,1.46096,
1.7264,1.46011,
1.7283,1.45927,
1.7302,1.45843,
1.7321,1.4576,
1.734,1.45678,
1.7359,1.45596,
1.7378,1.45514,
1.7397,1.45434,
1.7416,1.45353,
1.7435,1.45274,
1.7454,1.45195,
1.7473,1.45116,
1.7492,1.45038,
1.7511,1.44961,
1.753,1.44884,
1.7549,1.44807,
1.7568,1.44731,
1.7587,1.44656,
1.7606,1.44581,
1.7625,1.44507,
1.7644,1.44433,
1.7663,1.44359,
1.7682,1.44287,
1.7701,1.44214,
1.772,1.44142,
1.7739,1.44071,
1.7758,1.44,
1.7777,1.4393,
1.7796,1.4386,
1.7815,1.43791,
1.7834,1.43722,
1.7853,1.43653,
1.7872,1.43585,
1.7891,1.43518,
1.791,1.43451,
1.7929,1.43384,
1.7948,1.43318,
1.7967,1.43252,
1.7986,1.43187,
1.8005,1.43122,
1.8024,1.43058,
1.8043,1.42994,
1.8062,1.4293,
1.8081,1.42867,
1.81,1.42805,
1.8119,1.42743,
1.8138,1.42681,
1.8157,1.4262,
1.8176,1.42559,
1.8195,1.42498,
1.8214,1.42438,
1.8233,1.42379,
1.8252,1.42319,
1.8271,1.4226,
1.829,1.42202,
1.8309,1.42144,
1.8328,1.42086,
1.8347,1.42029,
1.8366,1.41972,
1.8385,1.41916,
1.8404,1.4186,
