Force_Transmissibility_Wall0.csv,


mass: 10,k1: 1,k2: 2,c1: 0,c2: 1,amp: 10,


r,Force Trans. Wall,
1.8442,0.154021,
1.8461,0.15361,
1.848,0.153202,
1.8499,0.152795,
1.8518,0.15239,
1.8537,0.151987,
1.8556,0.151585,
1.8575,0.151186,
1.8594,0.150789,
1.8613,0.150393,
1.8632,0.149999,
1.8651,0.149607,
1.867,0.149217,
1.8689,0.148828,
1.8708,0.148442,
1.8727,0.148057,
1.8746,0.147673,
1.8765,0.147292,
1.8784,0.146912,
1.8803,0.146534,
1.8822,0.146158,
1.8841,0.145783,
1.886,0.145411,
1.8879,0.145039,
1.8898,0.14467,
1.8917,0.144302,
1.8936,0.143936,
1.8955,0.143571,
1.8974,0.143208,
1.8993,0.142847,
1.9012,0.142487,
1.9031,0.142129,
1.905,0.141772,
1.9069,0.141417,
1.9088,0.141063,
1.9107,0.140711,
1.9126,0.140361,
1.9145,0.140012,
1.9164,0.139665,
1.9183,0.139319,
1.9202,0.138975,
1.9221,0.138632,
1.924,0.138291,
1.9259,0.137951,
1.9278,0.137612,
1.9297,0.137275,
1.9316,0.13694,
1.9335,0.136606,
1.9354,0.136273,
1.9373,0.135942,
1.9392,0.135612,
1.9411,0.135284,
1.943,0.134957,
1.9449,0.134631,
1.9468,0.134307,
1.9487,0.133984,
1.9506,0.133663,
1.9525,0.133343,
1.9544,0.133024,
1.9563,0.132707,
1.9582,0.13239,
1.9601,0.132076,
1.962,0.131762,
1.9639,0.13145,
1.9658,0.131139,
1.9677,0.13083,
1.9696,0.130521,
1.9715,0.130214,
1.9734,0.129909,
1.9753,0.129604,
1.9772,0.129301,
1.9791,0.128999,
1.981,0.128698,
1.9829,0.128399,
1.9848,0.128101,
1.9867,0.127804,
1.9886,0.127508,
1.9905,0.127213,
1.9924,0.12692,
1.9943,0.126628,
1.9962,0.126337,
1.9981,0.126047,
2,0.125758,
