Displacement_Transmissibility0.csv,


mass: 10,k1: 1,k2: 2,c1: 0,c2: 1,amp: 10,


r,Disp. Trans.,
1.8822,0.292316,
1.8841,0.291567,
1.886,0.290821,
1.8879,0.290079,
1.8898,0.289339,
1.8917,0.288604,
1.8936,0.287871,
1.8955,0.287142,
1.8974,0.286416,
1.8993,0.285693,
1.9012,0.284973,
1.9031,0.284257,
1.905,0.283544,
1.9069,0.282834,
1.9088,0.282127,
1.9107,0.281423,
1.9126,0.280722,
1.9145,0.280024,
1.9164,0.27933,
1.9183,0.278638,
1.9202,0.277949,
1.9221,0.277264,
1.924,0.276581,
1.9259,0.275901,
1.9278,0.275225,
1.9297,0.274551,
1.9316,0.27388,
1.9335,0.273212,
1.9354,0.272546,
1.9373,0.271884,
1.9392,0.271225,
1.9411,0.270568,
1.943,0.269914,
1.9449,0.269263,
1.9468,0.268614,
1.9487,0.267969,
1.9506,0.267326,
1.9525,0.266685,
1.9544,0.266048,
1.9563,0.265413,
1.9582,0.264781,
1.9601,0.264151,
1.962,0.263525,
1.9639,0.2629,
1.9658,0.262279,
1.9677,0.261659,
1.9696,0.261043,
1.9715,0.260429,
1.9734,0.259818,
1.9753,0.259209,
1.9772,0.258602,
1.9791,0.257998,
1.981,0.257397,
1.9829,0.256798,
1.9848,0.256201,
1.9867,0.255607,
1.9886,0.255016,
1.9905,0.254427,
1.9924,0.25384,
1.9943,0.253255,
1.9962,0.252673,
1.9981,0.252093,
2,0.251516,
