Max_Force_Wall0.csv,


mass: 10,k1: 1,k2: 2,c1: 0,c2: 1,amp: 10,


r,Max Force Wall,
1.4129,6.94593,
1.4148,6.91163,
1.4167,6.87763,
1.4186,6.84392,
1.4205,6.8105,
1.4224,6.77737,
1.4243,6.74452,
1.4262,6.71195,
1.4281,6.67966,
1.43,6.64764,
1.4319,6.61589,
1.4338,6.58441,
1.4357,6.55319,
1.4376,6.52223,
1.4395,6.49152,
1.4414,6.46108,
1.4433,6.43088,
1.4452,6.40093,
1.4471,6.37122,
1.449,6.34176,
1.4509,6.31254,
1.4528,6.28355,
1.4547,6.2548,
1.4566,6.22628,
1.4585,6.19799,
1.4604,6.16992,
1.4623,6.14208,
1.4642,6.11445,
1.4661,6.08705,
1.468,6.05986,
1.4699,6.03288,
1.4718,6.00612,
1.4737,5.97957,
1.4756,5.95322,
1.4775,5.92707,
1.4794,5.90113,
1.4813,5.87538,
1.4832,5.84984,
1.4851,5.82449,
1.487,5.79933,
1.4889,5.77436,
1.4908,5.74958,
1.4927,5.72499,
1.4946,5.70059,
1.4965,5.67636,
1.4984,5.65232,
1.5003,5.62845,
1.5022,5.60477,
1.5041,5.58126,
1.506,5.55792,
1.5079,5.53475,
1.5098,5.51175,
1.5117,5.48892,
1.5136,5.46626,
1.5155,5.44376,
1.5174,5.42142,
1.5193,5.39925,
1.5212,5.37723,
1.5231,5.35537,
1.525,5.33367,
1.5269,5.31212,
1.5288,5.29073,
1.5307,5.26948,
1.5326,5.24839,
1.5345,5.22744,
1.5364,5.20664,
1.5383,5.18599,
1.5402,5.16548,
1.5421,5.14511,
1.544,5.12489,
1.5459,5.1048,
1.5478,5.08485,
1.5497,5.06504,
1.5516,5.04537,
1.5535,5.02582,
1.5554,5.00642,
1.5573,4.98714,
1.5592,4.96799,
1.5611,4.94897,
1.563,4.93008,
1.5649,4.91132,
1.5668,4.89268,
1.5687,4.87417,
1.5706,4.85578,
1.5725,4.83751,
1.5744,4.81936,
1.5763,4.80133,
1.5782,4.78342,
1.5801,4.76563,
1.582,4.74795,
1.5839,4.73039,
1.5858,4.71294,
1.5877,4.69561,
1.5896,4.67838,
1.5915,4.66127,
1.5934,4.64427,
1.5953,4.62738,
1.5972,4.61059,
1.5991,4.59391,
1.601,4.57734,
1.6029,4.56087,
1.6048,4.54451,
1.6067,4.52825,
1.6086,4.51209,
1.6105,4.49603,
1.6124,4.48007,
1.6143,4.46421,
1.6162,4.44845,
1.6181,4.43279,
1.62,4.41723,
1.6219,4.40176,
1.6238,4.38638,
1.6257,4.3711,
1.6276,4.35592,
1.6295,4.34082,
1.6314,4.32582,
1.6333,4.31091,
1.6352,4.29609,
1.6371,4.28136,
1.639,4.26671,
1.6409,4.25216,
1.6428,4.23769,
1.6447,4.22331,
1.6466,4.20901,
1.6485,4.1948,
1.6504,4.18067,
1.6523,4.16663,
1.6542,4.15267,
1.6561,4.13879,
1.658,4.12499,
1.6599,4.11128,
1.6618,4.09764,
1.6637,4.08408,
1.6656,4.0706,
1.6675,4.0572,
1.6694,4.04388,
1.6713,4.03063,
1.6732,4.01746,
1.6751,4.00437,
1.677,3.99135,
1.6789,3.9784,
1.6808,3.96553,
1.6827,3.95273,
1.6846,3.94,
1.6865,3.92735,
1.6884,3.91476,
1.6903,3.90225,
1.6922,3.88981,
1.6941,3.87744,
1.696,3.86513,
1.6979,3.8529,
1.6998,3.84073,
1.7017,3.82863,
1.7036,3.81659,
1.7055,3.80463,
1.7074,3.79273,
1.7093,3.78089,
1.7112,3.76912,
1.7131,3.75741,
1.715,3.74577,
1.7169,3.73419,
1.7188,3.72267,
1.7207,3.71122,
1.7226,3.69982,
1.7245,3.68849,
1.7264,3.67722,
1.7283,3.66601,
1.7302,3.65486,
1.7321,3.64377,
1.734,3.63274,
1.7359,3.62176,
1.7378,3.61085,
1.7397,3.59999,
1.7416,3.58919,
1.7435,3.57845,
1.7454,3.56776,
1.7473,3.55713,
1.7492,3.54655,
1.7511,3.53603,
1.753,3.52557,
1.7549,3.51515,
1.7568,3.5048,
1.7587,3.49449,
1.7606,3.48424,
1.7625,3.47404,
1.7644,3.4639,
1.7663,3.4538,
1.7682,3.44376,
1.7701,3.43377,
1.772,3.42383,
1.7739,3.41394,
1.7758,3.4041,
1.7777,3.39431,
1.7796,3.38457,
1.7815,3.37488,
1.7834,3.36524,
1.7853,3.35564,
1.7872,3.3461,
1.7891,3.3366,
1.791,3.32715,
1.7929,3.31774,
1.7948,3.30838,
1.7967,3.29907,
1.7986,3.28981,
1.8005,3.28059,
1.8024,3.27141,
1.8043,3.26228,
1.8062,3.2532,
1.8081,3.24416,
1.81,3.23516,
1.8119,3.22621,
1.8138,3.2173,
1.8157,3.20843,
1.8176,3.19961,
1.8195,3.19083,
1.8214,3.18209,
1.8233,3.17339,
1.8252,3.16474,
1.8271,3.15612,
1.829,3.14755,
1.8309,3.13902,
1.8328,3.13053,
1.8347,3.12208,
1.8366,3.11367,
1.8385,3.1053,
1.8404,3.09697,
1.8423,3.08868,
1.8442,3.08042,
1.8461,3.07221,
1.848,3.06403,
1.8499,3.0559,
1.8518,3.0478,
1.8537,3.03973,
1.8556,3.03171,
1.8575,3.02372,
1.8594,3.01577,
1.8613,3.00786,
1.8632,2.99998,
1.8651,2.99214,
1.867,2.98433,
1.8689,2.97656,
1.8708,2.96883,
1.8727,2.96113,
1.8746,2.95347,
1.8765,2.94584,
1.8784,2.93825,
1.8803,2.93069,
1.8822,2.92316,
1.8841,2.91567,
1.886,2.90821,
1.8879,2.90079,
1.8898,2.89339,
1.8917,2.88604,
1.8936,2.87871,
1.8955,2.87142,
1.8974,2.86416,
1.8993,2.85693,
1.9012,2.84973,
1.9031,2.84257,
1.905,2.83544,
1.9069,2.82834,
1.9088,2.82127,
1.9107,2.81423,
1.9126,2.80722,
1.9145,2.80024,
1.9164,2.7933,
1.9183,2.78638,
1.9202,2.77949,
1.9221,2.77264,
1.924,2.76581,
1.9259,2.75901,
1.9278,2.75225,
1.9297,2.74551,
1.9316,2.7388,
1.9335,2.73212,
1.9354,2.72546,
1.9373,2.71884,
1.9392,2.71225,
1.9411,2.70568,
1.943,2.69914,
1.9449,2.69263,
1.9468,2.68614,
1.9487,2.67969,
1.9506,2.67326,
1.9525,2.66685,
1.9544,2.66048,
1.9563,2.65413,
1.9582,2.64781,
1.9601,2.64151,
1.962,2.63525,
1.9639,2.629,
1.9658,2.62279,
1.9677,2.61659,
1.9696,2.61043,
1.9715,2.60429,
1.9734,2.59818,
1.9753,2.59209,
1.9772,2.58602,
1.9791,2.57998,
1.981,2.57397,
1.9829,2.56798,
1.9848,2.56201,
1.9867,2.55607,
1.9886,2.55016,
1.9905,2.54427,
1.9924,2.5384,
1.9943,2.53255,
1.9962,2.52673,
1.9981,2.52093,
2,2.51516,
